,title,elo,genre,year,W,L
342,Back to the Future Part III,-100,Comedy/Adventure/Science Fiction/Western,1990,0,1
353,The Hangover Part II,-100,Comedy,2011,0,1
374,Troy,-100,Action/History/War,2004,0,1
386,Space Jam,-100,Family/Fantasy/Comedy/Animation/Science Fiction,1996,0,1
405,Wedding Crashers,-100,Comedy/Romance,2005,0,1
482,Rudolph's Shiny New Year,-100,Comedy/Fantasy/Animation/Family/TV Movie,1976,0,1
483,Rudolph and Frosty's Christmas in July,-100,Family/Fantasy/Animation/TV Movie,1979,0,1
495,Piper,-100,Animation/Family,2016,0,1
512,Wicked: For Good,-100,Adventure/Fantasy/Romance,2025,0,1
325,Ted,-128,Comedy/Fantasy,2012,0,1
394,Ice Age: Dawn of the Dinosaurs,-128,Comedy/Adventure/Animation/Family,2009,0,1
74,Blockers,-148,Comedy,2018,0,2
500,Chitty Chitty Bang Bang,-148,Comedy/Family/Adventure/Fantasy,1968,0,2
148,Dark Shadows,-150,Comedy/Fantasy,2012,0,2
42,Paradox,-171,Music/Fantasy,2018,0,2
88,Mike Birbiglia: What I Should Have Said Was Nothing,-171,Comedy,2008,0,2
344,The Hobbit: The Battle of the Five Armies,-171,Fantasy/Action/Adventure,2014,0,2
422,Lincoln,-171,History/Drama,2012,0,2
453,About a Boy,-171,Drama/Romance/Comedy,2002,0,2
506,Curse of the Pink Panther,-171,Crime/Comedy/Mystery,1983,0,2
140,The Royal Tenenbaums,-171,Drama/Comedy,2001,0,2
279,Birdman or (The Unexpected Virtue of Ignorance),-171,Drama/Comedy,2014,0,2
288,Thor,-171,Action/Adventure/Fantasy,2011,0,2
360,Alice in Wonderland,-171,Fantasy/Animation/Family/Adventure,1951,0,2
23,Materialists,-192,Romance/Drama,2025,0,2
