,title,elo,genre,year,W,L
295,The Lego Movie,0,Family/Fantasy/Comedy/Animation/Adventure,2014,0,0
296,The Princess Diaries,0,Comedy/Romance/Family,2001,0,0
297,The Parent Trap,0,Family/Romance/Comedy,1998,0,0
299,Grease,0,Romance/Comedy,1978,0,0
300,Top Gun,0,Action/Romance/Drama,1986,0,0
308,The Princess and the Frog,0,Romance/Family/Animation/Fantasy,2009,0,0
310,Snowpiercer,0,Drama/Action/Science Fiction,2013,0,0
312,Groundhog Day,0,Comedy/Fantasy/Romance,1993,0,0
313,Ice Age,0,Comedy/Adventure/Family/Animation,2002,0,0
314,Life Is Beautiful,0,Comedy/Drama,1997,0,0
315,The Hobbit: An Unexpected Journey,0,Fantasy/Action/Adventure,2012,0,0
316,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0,Fantasy/Family/Adventure,2005,0,0
318,Boyhood,0,Drama,2014,0,0
320,Zoolander,0,Comedy,2001,0,0
321,The Emperor's New Groove,0,Comedy/Adventure/Animation/Family/Fantasy,2000,0,0
322,Jumanji: Welcome to the Jungle,0,Action/Comedy/Fantasy/Adventure,2017,0,0
323,Night at the Museum,0,Fantasy/Family/Comedy,2006,0,0
326,Hercules,0,Animation/Adventure/Romance/Comedy/Fantasy/Family,1997,0,0
327,World War Z,0,Action/Science Fiction/Horror,2013,0,0
330,X-Men: First Class,0,Science Fiction/Adventure/Action,2011,0,0
331,Scooby-Doo,0,Comedy/Adventure/Mystery,2002,0,0
333,Napoleon Dynamite,0,Comedy,2004,0,0
335,Indiana Jones and the Temple of Doom,0,Adventure/Action,1984,0,0
336,Kick-Ass,0,Crime/Action,2010,0,0
338,Shrek the Third,0,Adventure/Comedy/Fantasy/Family/Animation,2007,0,0
339,Moana 2,0,Comedy/Fantasy/Animation/Adventure/Family,2024,0,0
340,High School Musical,0,Comedy/Family/TV Movie/Romance/Music,2006,0,0
341,The Help,0,Drama,2011,0,0
343,The Incredible Hulk,0,Science Fiction/Action/Adventure,2008,0,0
347,Castle in the Sky,0,Fantasy/Adventure/Family/Action/Animation/Science Fiction,1986,0,0
354,The Fifth Element,0,Adventure/Action/Science Fiction,1997,0,0
355,Enchanted,0,Family/Fantasy/Comedy/Romance,2007,0,0
356,The Prince of Egypt,0,Adventure/Family/Animation/Drama,1998,0,0
357,The 40 Year Old Virgin,0,Romance/Comedy,2005,0,0
358,"O Brother, Where Art Thou?",0,Comedy/Adventure/Crime,2000,0,0
359,This Is the End,0,Comedy/Action,2013,0,0
361,Over the Garden Wall,0,Animation/Mystery/Family/Comedy,2014,0,0
364,Anchorman: The Legend of Ron Burgundy,0,Comedy,2004,0,0
365,Swiss Army Man,0,Drama/Fantasy/Comedy/Adventure/Romance,2016,0,0
367,Indiana Jones and the Kingdom of the Crystal Skull,0,Adventure/Action,2008,0,0
368,Pitch Perfect 2,0,Comedy/Music,2015,0,0
369,X-Men: The Last Stand,0,Science Fiction/Action/Adventure,2006,0,0
370,TRON: Legacy,0,Adventure/Science Fiction/Action,2010,0,0
371,Mrs. Doubtfire,0,Family/Comedy/Drama,1993,0,0
375,Bruce Almighty,0,Comedy/Fantasy,2003,0,0
377,Ice Age: The Meltdown,0,Adventure/Family/Comedy/Animation,2006,0,0
378,Spring Breakers,0,Drama/Crime,2012,0,0
379,Percy Jackson & the Olympians: The Lightning Thief,0,Adventure/Fantasy/Family,2010,0,0
381,Chicken Little,0,Animation/Comedy/Family,2005,0,0
383,Life of Brian,0,Comedy,1979,0,0
384,The Karate Kid,0,Drama/Action/Family/Adventure,2010,0,0
388,Over the Hedge,0,Animation/Family/Adventure/Comedy,2006,0,0
389,Atlantis: The Lost Empire,0,Family/Science Fiction/Animation/Adventure,2001,0,0
390,Hook,0,Comedy/Adventure/Fantasy/Family,1991,0,0
392,West Side Story,0,Romance/Drama/Crime,1961,0,0
393,Transformers: Revenge of the Fallen,0,Action/Adventure/Science Fiction,2009,0,0
396,Flushed Away,0,Family/Adventure/Comedy/Animation,2006,0,0
397,Forgetting Sarah Marshall,0,Drama/Comedy/Romance,2008,0,0
399,To Kill a Mockingbird,0,Drama,1962,0,0
401,Ella Enchanted,0,Comedy/Fantasy/Family,2004,0,0
403,Holes,0,Drama/Comedy/Adventure/Family,2003,0,0
404,Scooby-Doo 2: Monsters Unleashed,0,Mystery/Comedy/Adventure,2004,0,0
406,Transformers: Dark of the Moon,0,Adventure/Action/Science Fiction,2011,0,0
407,Neighbors,0,Comedy,2014,0,0
408,Night at the Museum: Battle of the Smithsonian,0,Family/Adventure/Comedy/Fantasy/Action,2009,0,0
409,Lemony Snicket's A Series of Unfortunate Events,0,Adventure/Family/Comedy,2004,0,0
411,Star Trek,0,Action/Science Fiction/Adventure,2009,0,0
412,The Half of It,0,Romance/Comedy/Drama,2020,0,0
413,Remember the Titans,0,Drama,2000,0,0
415,Bend It Like Beckham,0,Romance/Comedy/Drama,2002,0,0
416,All About Eve,0,Drama,1950,0,0
418,Hancock,0,Fantasy/Action,2008,0,0
424,Pitch Perfect 3,0,Music/Comedy,2017,0,0
425,Bill & Ted's Excellent Adventure,0,Science Fiction/Adventure/Comedy,1989,0,0
426,Ghostbusters,0,Fantasy/Action/Comedy,2016,0,0
427,Young Frankenstein,0,Comedy,1974,0,0
428,John Tucker Must Die,0,Romance/Comedy,2006,0,0
429,Spirit: Stallion of the Cimarron,0,Adventure/Animation/Western/Drama/Family,2002,0,0
430,Spaceballs,0,Science Fiction/Comedy,1987,0,0
433,Robin Hood: Men in Tights,0,Comedy,1993,0,0
435,A Christmas Story,0,Family/Comedy,1983,0,0
437,Star Trek Into Darkness,0,Science Fiction/Adventure/Action,2013,0,0
438,No Strings Attached,0,Romance/Comedy,2011,0,0
439,Dr. No,0,Action/Thriller/Adventure,1962,0,0
440,Ghostbusters II,0,Comedy/Fantasy,1989,0,0
441,Tron,0,Adventure/Action/Science Fiction,1982,0,0
442,Ben-Hur,0,Drama/History/Adventure,1959,0,0
443,Anchorman 2: The Legend Continues,0,Comedy,2013,0,0
444,You Don't Mess with the Zohan,0,Action/Comedy,2008,0,0
445,Nymphomaniac: Vol. II,0,Mystery/Drama,2013,0,0
446,Babe,0,Drama/Family/Fantasy/Comedy,1995,0,0
447,Galaxy Quest,0,Comedy/Science Fiction/Adventure,1999,0,0
448,The Muppet Movie,0,Comedy/Family/Adventure,1979,0,0
449,National Treasure: Book of Secrets,0,Action/Adventure/Mystery,2007,0,0
450,Nanny McPhee,0,Family/Comedy/Fantasy,2005,0,0
451,Winged Migration,0,Documentary,2001,0,0
454,The Sword in the Stone,0,Family/Animation/Fantasy,1963,0,0
455,How the Grinch Stole Christmas!,0,Comedy/Animation/Family,1966,0,0
456,The Mummy,0,Action/Horror/Fantasy/Adventure/Thriller,2017,0,0
458,Jumper,0,Science Fiction/Adventure/Action,2008,0,0
459,The Wrong Trousers,0,Animation/Family/Comedy,1993,0,0
461,A Close Shave,0,Animation/Family/Comedy,1995,0,0
462,Across the Universe,0,Fantasy/Romance/Drama,2007,0,0
464,Why Him?,0,Comedy,2016,0,0
465,Moonage Daydream,0,Documentary/Music,2022,0,0
466,Selma,0,History/Drama,2014,0,0
467,"It's the Great Pumpkin, Charlie Brown",0,Comedy/Animation/TV Movie/Family,1966,0,0
468,The Pacifier,0,Action/Family/Comedy,2005,0,0
469,White Christmas,0,Comedy/Music/Romance,1954,0,0
470,The Pink Panther,0,Crime/Adventure/Comedy/Mystery/Family,2006,0,0
473,Santa Claus Is Comin' to Town,0,TV Movie/Family/Fantasy/Animation,1970,0,0
477,Frosty Returns,0,Animation/Family/TV Movie,1992,0,0
478,Miracle on 34th Street,0,Comedy/Drama/Family,1947,0,0
479,The Many Adventures of Winnie the Pooh,0,Adventure/Animation/Family,1977,0,0
480,The Santa Clause 3: The Escape Clause,0,Comedy/Family/Adventure,2006,0,0
